iter	Passed	Remaining
399	53128	32009
400	53254	31872
401	53380	31736
402	53515	31604
403	53640	31467
404	53773	31334
405	53895	31195
406	54022	31059
407	54148	30923
408	54274	30786
409	54400	30649
410	54526	30513
411	54659	30381
412	54787	30246
413	54918	30112
414	55046	29976
415	55173	29841
416	55299	29705
417	55425	29568
418	55550	29432
419	55683	29300
420	55810	29164
421	55940	29030
422	56068	28895
423	56193	28759
424	56317	28622
425	56441	28485
426	56564	28348
427	56690	28212
428	56813	28075
429	56938	27939
430	57064	27804
431	57189	27668
432	57321	27535
433	57449	27401
434	57581	27268
435	57711	27134
436	57841	27001
437	57966	26865
438	58090	26729
439	58214	26593
440	58339	26458
441	58464	26322
442	58588	26186
443	58714	26051
444	58839	25915
445	58965	25780
446	59089	25644
447	59215	25510
448	59344	25376
449	59475	25243
450	59605	25111
451	59729	24975
452	59854	24840
453	59982	24706
454	60109	24572
455	60235	24437
456	60360	24302
457	60483	24166
458	60608	24032
459	60744	23901
460	60872	23768
461	61006	23636
462	61133	23502
463	61265	23370
464	61391	23236
465	61524	23104
466	61648	22969
467	61776	22836
468	61908	22704
469	62034	22569
470	62165	22437
471	62291	22303
472	62421	22170
473	62557	22040
474	62686	21907
475	62813	21773
476	62947	21642
477	63070	21507
478	63196	21373
479	63320	21238
480	63445	21104
481	63568	20969
482	63692	20835
483	63816	20700
484	63940	20566
485	64066	20432
486	64192	20298
487	64325	20167
488	64448	20033
489	64569	19897
490	64700	19765
491	64829	19633
492	64953	19499
493	65084	19367
494	65210	19233
495	65332	19099
496	65459	18966
497	65592	18834
498	65721	18702
499	65849	18569
500	65981	18437
501	66108	18304
502	66235	18171
503	66358	18037
504	66484	17904
505	66611	17771
506	66739	17639
507	66869	17507
508	66992	17373
509	67121	17240
510	67244	17107
511	67370	16974
512	67498	16841
513	67629	16710
514	67765	16579
515	67891	16446
516	68018	16313
517	68141	16180
518	68270	16048
519	68397	15915
520	68525	15783
521	68655	15651
522	68793	15521
523	68920	15388
524	69050	15256
525	69174	15123
526	69303	14991
527	69429	14858
528	69558	14727
529	69685	14594
530	69811	14461
531	69936	14329
532	70059	14195
533	70186	14063
534	70322	13932
535	70449	13800
536	70579	13669
537	70708	13537
538	70837	13405
539	70971	13274
540	71100	13142
541	71226	13010
542	71350	12877
543	71473	12744
544	71598	12611
545	71725	12479
546	71856	12348
547	71980	12215
548	72112	12084
549	72240	11952
550	72368	11820
551	72492	11688
552	72613	11555
553	72738	11422
554	72861	11290
555	72988	11158
556	73118	11026
557	73250	10895
558	73380	10764
559	73506	10632
560	73629	10499
561	73759	10368
562	73882	10235
563	74012	10104
564	74149	9974
565	74278	9842
566	74408	9711
567	74536	9579
568	74660	9447
569	74789	9315
570	74919	9184
571	75050	9053
572	75174	8921
573	75303	8789
574	75429	8658
575	75560	8526
576	75688	8395
577	75816	8263
578	75946	8132
579	76074	8000
580	76203	7869
581	76329	7737
582	76459	7606
583	76587	7475
584	76719	7344
585	76851	7213
586	76977	7081
587	77104	6949
588	77227	6818
589	77354	6686
590	77479	6554
591	77609	6423
592	77738	6292
593	77863	6160
594	77989	6029
595	78111	5897
596	78236	5766
597	78363	5634
598	78487	5503
599	78613	5371
600	78745	5240
601	78872	5109
602	78998	4978
603	79127	4847
604	79252	4715
605	79379	4584
606	79504	4453
607	79630	4322
608	79762	4191
609	79893	4060
610	80018	3928
611	80146	3797
612	80272	3666
613	80398	3535
614	80526	3404
615	80652	3273
616	80780	3142
617	80904	3011
618	81030	2879
619	81157	2748
620	81287	2617
621	81416	2487
622	81542	2355
623	81667	2224
624	81795	2093
625	81922	1962
626	82051	1832
627	82190	1701
628	82320	1570
629	82446	1439
630	82574	1308
631	82701	1177
632	82827	1046
633	82950	915
634	83079	785
635	83206	654
636	83336	523
637	83463	392
638	83597	261
639	83729	130
640	83854	0
